Amazon Link, Title, Author
http://www.amazon.com/exec/obidos/ASIN/0521576814/ref=nosim/deliciousmons-20, The Functional Approach to Programming, Guy Cousineau  Michel Mauny  
http://www.amazon.com/exec/obidos/ASIN/0133315797/ref=nosim/deliciousmons-20, Functional Programming Application and Implementation, Peter Henderson  
http://www.amazon.com/exec/obidos/ASIN/0262610574/ref=nosim/deliciousmons-20, Functional Programming for Loosely-Coupled Multiprocessors, Paul H. J. Kelly  
http://www.amazon.com/exec/obidos/ASIN/0201137445/ref=nosim/deliciousmons-20, Functional Programming: Practice and Theory, Bruce J. Maclennan  
http://www.amazon.co.uk/exec/obidos/ASIN/8120322398/ref=nosim/deliciousmons-21, Fundamentals Of Parallel Processing, JORDAN HARRY  ALAGHBAND GITA  
http://www.amazon.com/exec/obidos/ASIN/0669194735/ref=nosim/deliciousmons-20, Fundamentals of Artificial Intelligence - Lisp, James Noyes  
http://www.amazon.com/exec/obidos/ASIN/0914894838/ref=nosim/deliciousmons-20, Fuzzy Sets  Natural Language Computations  and Risk Analysis, Kurt J. Schmucker  
http://www.amazon.com/exec/obidos/ASIN/0486296725/ref=nosim/deliciousmons-20, Game Theory: A Nontechnical Introduction, Morton D. Davis  
http://www.amazon.com/exec/obidos/ASIN/0201309777/ref=nosim/deliciousmons-20, Generative Programming: Methods  Tools  and Applications, Krysztof Czarnecki  Ulrich Eisenecker  
http://www.amazon.com/exec/obidos/ASIN/0201157675/ref=nosim/deliciousmons-20, Genetic Algorithms in Search  Optimization  and Machine Learning, David E. Goldberg  
http://www.amazon.com/exec/obidos/ASIN/013924218X/ref=nosim/deliciousmons-20, Global Software Teams: Colloborating Across Borders and Time Zones, Erran Carmel  
http://www.amazon.com/exec/obidos/ASIN/0805813667/ref=nosim/deliciousmons-20, Goal-based Decision Making: An Interpersonal Model, Stephen Slade  
http://www.amazon.com/exec/obidos/ASIN/0465026567/ref=nosim/deliciousmons-20, Gödel  Escher  Bach: An Eternal Golden Braid, Douglas R. Hofstadter  
http://www.amazon.com/exec/obidos/ASIN/0262522233/ref=nosim/deliciousmons-20, Great Ideas in Computer Science - 2nd Edition: A Gentle Introduction, Alan W. Biermann  
http://www.amazon.com/exec/obidos/ASIN/1565925092/ref=nosim/deliciousmons-20, HTTP: The Definitive Guide, David Gourley  Brian Totty  
http://www.amazon.com/exec/obidos/ASIN/0201914654/ref=nosim/deliciousmons-20, Hacker's Delight, Henry S. Warren  
http://www.amazon.com/exec/obidos/ASIN/0596006624/ref=nosim/deliciousmons-20, Hackers and Painters: Big Ideas from the Computer Age, Paul Graham  
http://www.amazon.com/exec/obidos/ASIN/0521644089/ref=nosim/deliciousmons-20, The Haskell School of Expression: Learning Functional Programming through Multimedia, Paul Hudak  
http://www.amazon.com/exec/obidos/ASIN/0201342758/ref=nosim/deliciousmons-20, Haskell: The Craft of Functional Programming, Simon Thompson  
http://www.amazon.com/exec/obidos/ASIN/0201442302/ref=nosim/deliciousmons-20, Hidden Order: How Adaptation Builds Complexity, John Holland  
